ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
300671,富满微,bottom,LONG,2.0,,49.9,2026-06-10,39.92,2026-06-08,miss,1/5,"R1,R2,R3,R4",,True,0.828,True,OB+FVG,W,35.85,40.43,三推底 49.94→49.01→39.92 反弹 75%/80% | 周线OB+FVG [35.85-40.43] | 多: 入¥39.92 止¥35.49 标¥55.34 R:R 3.5
301232,飞沃科技,bottom,LONG,2.0,,117.65,2026-06-10,115.52,2026-06-10,miss,2/5,"R1,R3,R4",,True,0.113,True,OB+FVG,W,108.59,155.14,三推底 139.78→130.83→115.52 反弹 61%/88% | 周线OB+FVG [108.59-155.14] | 多: 入¥115.52 止¥107.50 标¥153.97 R:R 4.8
600111,北方稀土,bottom,LONG,2.0,,47.11,2026-06-10,46.57,2026-06-08,miss,1/5,"R1,R2,R3,R4",,True,0.381,True,OB+FVG,W,46.42,51.55,三推底 48.40→47.77→46.57 反弹 63%/82% | 周线OB+FVG [46.42-51.55] | 多: 入¥46.57 止¥45.96 标¥52.69 R:R 10.0
603477,巨星农牧,top,SHORT,2.0,,14.09,2026-06-10,19.39,2026-05-14,miss,2/5,"R1,R2,R3",,True,0.599,True,OB+FVG,W,18.36,19.51,三推顶 19.08→19.23→19.39 回撤 85%/73% | 周线OB+FVG [18.36-19.51] | 空: 入¥19.39 止¥19.71 标¥16.95 R:R 7.7
688573,信宇人,bottom,LONG,2.0,,18.7,2026-06-10,18.53,2026-06-10,miss,1/5,"R1,R2,R3,R4",,True,0.231,True,OB+FVG,W,18.18,19.98,三推底 23.72→22.97→18.53 反弹 85%/88% | 周线OB+FVG [18.18-19.98] | 多: 入¥18.53 止¥18.00 标¥24.87 R:R 11.9
000027,深圳能源,top,SHORT,1.5,,7.16,2026-06-10,8.45,2026-05-29,miss,1/5,"R1,R2,R3,R4",,True,0.061,True,OB,W,6.93,8.48,三推顶 7.60→8.08→8.45 回撤 60%/88% | 周线OB [6.93-8.48] | 空: 入¥8.45 止¥8.56 标¥6.82 R:R 14.2
000159,国际实业,bottom,LONG,1.5,,6.22,2026-06-10,5.96,2026-06-10,miss,1/5,"R1,R2,R3,R4",,True,0.669,True,OB,W,5.74,6.14,三推底 6.76→6.40→5.96 反弹 84%/74% | 周线OB [5.74-6.14] | 多: 入¥5.96 止¥5.68 标¥7.40 R:R 5.2
000400,许继电气,bottom,LONG,1.5,,21.69,2026-06-10,21.46,2026-06-10,miss,2/5,"R2,R3,R4",,True,0.507,True,OB,W,21.4,22.1,三推底 26.01→25.73→21.46 反弹 80%/85% | 周线OB [21.40-22.10] | 多: 入¥21.46 止¥21.19 标¥27.96 R:R 23.7
000537,绿发电力,bottom,LONG,1.5,,8.68,2026-06-10,8.57,2026-06-10,miss,2/5,"R2,R3,R4",,True,0.767,True,OB,W,8.33,8.8,三推底 10.45→9.85→8.57 反弹 76%/81% | 周线OB [8.33-8.80] | 多: 入¥8.57 止¥8.25 标¥11.72 R:R 9.7
000685,中山公用,top,SHORT,1.5,,10.38,2026-06-10,13.04,2026-05-19,miss,2/5,"R2,R3,R4",,True,0.74,True,OB,W,12.29,13.7,三推顶 11.36→11.89→13.04 回撤 79%/71% | 周线OB [12.29-13.70] | 空: 入¥13.04 止¥13.84 标¥10.38 R:R 3.3
000933,神火股份,bottom,LONG,1.5,,26.25,2026-06-10,25.3,2026-06-10,miss,2/5,"R2,R3,R4",,True,0.516,True,FVG,W,24.78,25.85,三推底 28.78→28.74→25.30 反弹 81%/67% | 周线FVG [24.78-25.85] | 多: 入¥25.30 止¥24.53 标¥33.35 R:R 10.5
002161,远 望 谷,bottom,LONG,1.5,,5.68,2026-06-10,5.57,2026-06-10,miss,3/5,"R3,R4",,True,0.777,True,OB,W,5.25,5.74,三推底 6.57→6.44→5.57 反弹 74%/70% | 周线OB [5.25-5.74] | 多: 入¥5.57 止¥5.20 标¥7.29 R:R 4.6
