ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
000899,赣能股份,bottom,LONG,2.0,,9.37,2026-09-02,9.32,2026-09-02,miss,2/5,"R2,R3,R4",,True,0.894,True,OB+FVG,W,9.08,9.51,三推底 10.60→10.29→9.32 反弹 78%/75% | 周线OB+FVG [9.08-9.51] | 多: 入¥9.32 止¥8.99 标¥11.77 R:R 7.4
002312,川发龙蟒,top,SHORT,2.0,,8.53,2026-09-02,8.8,2026-09-01,miss,2/5,"R1,R2,R3",,True,0.159,True,OB+FVG,W,8.53,10.84,三推顶 8.33→8.67→8.80 回撤 64%/89% | 周线OB+FVG [8.53-10.84] | 空: 入¥8.80 止¥10.95 标¥7.86 R:R 0.4
603071,物产环能,top,SHORT,2.0,,12.55,2026-09-02,13.2,2026-08-18,miss,1/5,"R1,R2,R3,R4",,True,0.397,True,OB+FVG,W,12.92,14.11,三推顶 11.82→12.16→13.20 回撤 66%/66% | 周线OB+FVG [12.92-14.11] | 空: 入¥13.20 止¥14.25 标¥10.89 R:R 2.2
000573,粤宏远Ａ,top,SHORT,1.5,,3.84,2026-09-02,3.93,2026-09-01,miss,2/5,"R1,R3,R4",,True,0.494,True,FVG,W,3.66,3.93,三推顶 3.66→3.81→3.93 回撤 61%/76% | 周线FVG [3.66-3.93] | 空: 入¥3.93 止¥3.97 标¥3.35 R:R 14.8
000737,北方铜业,top,SHORT,1.5,,14.93,2026-09-02,15.69,2026-08-26,miss,3/5,"R3,R4",,True,0.601,True,FVG,W,15.23,16.17,三推顶 14.69→14.95→15.69 回撤 65%/73% | 周线FVG [15.23-16.17] | 空: 入¥15.69 止¥16.33 标¥12.71 R:R 4.6
000755,山西高速,top,SHORT,1.5,,4.82,2026-09-02,4.92,2026-09-01,miss,1/5,"R1,R2,R3,R4",,True,0.784,True,FVG,W,4.77,4.98,三推顶 4.77→4.80→4.92 回撤 75%/81% | 周线FVG [4.77-4.98] | 空: 入¥4.92 止¥5.03 标¥4.45 R:R 4.3
000897,津滨发展,top,SHORT,1.5,,1.88,2026-09-02,1.91,2026-09-01,miss,1/5,"R1,R2,R3,R4",,True,0.286,True,OB,W,1.88,2.01,三推顶 1.79→1.84→1.91 回撤 64%/86% | 周线OB [1.88-2.01] | 空: 入¥1.91 止¥2.03 标¥1.65 R:R 2.2
000997,新 大 陆,top,SHORT,1.5,,20.65,2026-09-02,21.21,2026-09-01,miss,2/5,"R1,R2,R3",,True,0.536,True,FVG,W,21.12,22.01,三推顶 18.28→19.47→21.21 回撤 67%/69% | 周线FVG [21.12-22.01] | 空: 入¥21.21 止¥22.23 标¥15.16 R:R 5.9
001316,润贝航科,top,SHORT,1.5,,27.09,2026-09-02,27.52,2026-08-31,miss,2/5,"R1,R3,R4",,True,0.345,True,FVG,W,26.22,29.6,三推顶 25.80→27.40→27.52 回撤 66%/65% | 周线FVG [26.22-29.60] | 空: 入¥27.52 止¥29.90 标¥24.02 R:R 1.5
002009,天奇股份,top,SHORT,1.5,,16.4,2026-09-02,18.57,2026-08-04,miss,2/5,"R1,R3,R4",,True,0.414,True,OB,W,18.42,22.44,三推顶 16.14→16.60→18.57 回撤 79%/62% | 周线OB [18.42-22.44] | 空: 入¥18.57 止¥22.66 标¥15.27 R:R 0.8
002016,世荣兆业,top,SHORT,1.5,,4.67,2026-09-02,4.79,2026-08-28,miss,2/5,"R1,R3,R4",,True,0.63,True,OB,W,4.59,5.02,三推顶 4.66→4.67→4.79 回撤 74%/85% | 周线OB [4.59-5.02] | 空: 入¥4.79 止¥5.07 标¥4.32 R:R 1.7
002019,亿帆医药,top,SHORT,1.5,,9.8,2026-09-02,10.92,2026-08-20,miss,2/5,"R1,R2,R3",,True,0.217,True,FVG,W,10.87,11.1,三推顶 10.36→10.90→10.92 回撤 64%/88% | 周线FVG [10.87-11.10] | 空: 入¥10.92 止¥11.21 标¥9.80 R:R 3.8
002079,苏州固锝,top,SHORT,1.5,,9.1,2026-09-02,10.14,2026-08-17,miss,2/5,"R1,R3,R4",,True,0.793,True,FVG,W,9.7,13.0,三推顶 9.08→9.18→10.14 回撤 79%/72% | 周线FVG [9.70-13.00] | 空: 入¥10.14 止¥13.13 标¥8.33 R:R 0.6
002128,电投能源,top,SHORT,1.5,,29.31,2026-09-02,29.52,2026-08-31,miss,1/5,"R1,R2,R3,R4",,True,0.601,True,OB,W,29.01,31.14,三推顶 27.89→28.19→29.52 回撤 82%/70% | 周线OB [29.01-31.14] | 空: 入¥29.52 止¥31.45 标¥25.13 R:R 2.3
002303,美盈森,top,SHORT,1.5,,5.41,2026-09-02,5.69,2026-08-31,loose,4/5,R2,0.206,True,0.875,False,,,,,"三推顶 4.71→5.61→5.69 回撤 74%/78% | MACD宽松顶背离 (4/5, 差R2, 强度 0.21)"
002314,南山控股,top,SHORT,1.5,,2.22,2026-09-02,2.26,2026-09-01,miss,1/5,"R1,R2,R3,R4",,True,0.322,True,OB,W,2.23,2.68,三推顶 2.10→2.24→2.26 回撤 86%/65% | 周线OB [2.23-2.68] | 空: 入¥2.26 止¥2.71 标¥1.96 R:R 0.7
002327,富安娜,top,SHORT,1.5,,6.34,2026-09-02,6.73,2026-08-24,miss,2/5,"R1,R3,R4",,True,0.306,True,FVG,W,6.45,6.75,三推顶 6.46→6.56→6.73 回撤 64%/84% | 周线FVG [6.45-6.75] | 空: 入¥6.73 止¥6.82 标¥5.91 R:R 9.4
002466,天齐锂业,top,SHORT,1.5,,47.08,2026-09-02,50.98,2026-08-28,miss,2/5,"R1,R3,R4",,True,0.363,True,FVG,W,50.98,56.79,三推顶 49.79→50.88→50.98 回撤 66%/85% | 周线FVG [50.98-56.79] | 空: 入¥50.98 止¥57.36 标¥43.88 R:R 1.1
002468,申通快递,top,SHORT,1.5,,14.0,2026-09-02,14.87,2026-08-18,miss,1/5,"R1,R2,R3,R4",,True,0.568,True,FVG,W,14.19,15.87,三推顶 14.52→14.86→14.87 回撤 72%/65% | 周线FVG [14.19-15.87] | 空: 入¥14.87 止¥16.03 标¥13.18 R:R 1.5
002475,立讯精密,bottom,LONG,1.5,,57.08,2026-09-02,52.8,2026-08-20,miss,3/5,"R2,R3",,True,0.252,True,FVG,W,51.11,57.5,三推底 59.80→53.12→52.80 反弹 84%/61% | 周线FVG [51.11-57.50] | 多: 入¥52.80 止¥50.60 标¥63.02 R:R 4.6
002489,浙江永强,top,SHORT,1.5,,2.83,2026-09-02,2.88,2026-09-01,miss,1/5,"R1,R2,R3,R4",,True,0.654,True,FVG,W,2.86,3.03,三推顶 2.68→2.79→2.88 回撤 79%/68% | 周线FVG [2.86-3.03] | 空: 入¥2.88 止¥3.06 标¥2.54 R:R 1.9
002646,天佑德酒,top,SHORT,1.5,,7.19,2026-09-02,7.5,2026-09-02,miss,1/5,"R1,R2,R3,R4",,True,0.428,True,OB,W,7.42,7.91,三推顶 6.86→7.25→7.50 回撤 81%/63% | 周线OB [7.42-7.91] | 空: 入¥7.50 止¥7.99 标¥6.19 R:R 2.7
002773,康弘药业,bottom,LONG,1.5,,20.31,2026-09-02,20.12,2026-08-31,miss,1/5,"R1,R2,R3,R4",,True,0.179,True,OB,W,19.35,20.57,三推底 21.55→20.91→20.12 反弹 90%/85% | 周线OB [19.35-20.57] | 多: 入¥20.12 止¥19.16 标¥24.13 R:R 4.2
002959,小熊电器,top,SHORT,1.5,,32.7,2026-09-02,35.08,2026-08-10,miss,2/5,"R1,R3,R4",,True,0.276,True,FVG,W,34.7,35.74,三推顶 33.42→34.02→35.08 回撤 67%/89% | 周线FVG [34.70-35.74] | 空: 入¥35.08 止¥36.10 标¥30.80 R:R 4.2
300079,数码视讯,top,SHORT,1.5,,5.02,2026-09-02,5.37,2026-09-01,miss,1/5,"R1,R2,R3,R4",,True,0.339,True,FVG,W,5.27,5.59,三推顶 4.29→4.68→5.37 回撤 89%/70% | 周线FVG [5.27-5.59] | 空: 入¥5.37 止¥5.65 标¥4.10 R:R 4.6
300105,龙源技术,bottom,LONG,1.5,,7.82,2026-09-02,7.38,2026-08-24,miss,1/5,"R1,R2,R3,R4",,True,0.803,True,OB,W,6.74,7.49,三推底 9.07→7.43→7.38 反弹 71%/73% | 周线OB [6.74-7.49] | 多: 入¥7.38 止¥6.67 标¥10.34 R:R 4.2
