ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
600211,西藏药业,top,SHORT,2.0,,38.17,2026-07-29,40.59,2026-07-16,miss,1/5,"R1,R2,R3,R4",,True,0.644,True,OB+FVG,W,40.07,42.4,三推顶 38.00→39.72→40.59 回撤 81%/70% | 周线OB+FVG [40.07-42.40] | 空: 入¥40.59 止¥42.82 标¥35.04 R:R 2.5
603298,杭叉集团,top,SHORT,2.0,,27.98,2026-07-29,27.98,2026-07-29,miss,1/5,"R1,R2,R3,R4",,True,0.579,True,OB+FVG,W,27.71,30.36,三推顶 26.01→27.42→27.98 回撤 82%/80% | 周线OB+FVG [27.71-30.36] | 空: 入¥27.98 止¥30.66 标¥23.02 R:R 1.8
603558,健盛集团,top,SHORT,2.0,,12.74,2026-07-29,13.06,2026-07-28,miss,1/5,"R1,R2,R3,R4",,True,0.854,True,OB+FVG,W,12.76,13.67,三推顶 12.20→12.28→13.06 回撤 73%/78% | 周线OB+FVG [12.76-13.67] | 空: 入¥13.06 止¥13.81 标¥10.97 R:R 2.8
000720,新能泰山,top,SHORT,1.5,,3.47,2026-07-29,3.5,2026-07-29,miss,2/5,"R1,R3,R4",,True,0.321,True,FVG,W,3.36,3.56,三推顶 3.36→3.39→3.50 回撤 67%/63% | 周线FVG [3.36-3.56] | 空: 入¥3.50 止¥3.60 标¥3.00 R:R 5.2
002251,步步高,top,SHORT,1.5,,3.7,2026-07-29,3.78,2026-07-29,miss,1/5,"R1,R2,R3,R4",,True,0.145,True,OB,W,3.66,4.88,三推顶 3.54→3.70→3.78 回撤 88%/87% | 周线OB [3.66-4.88] | 空: 入¥3.78 止¥4.93 标¥3.28 R:R 0.4
002327,富安娜,top,SHORT,1.5,,6.5,2026-07-29,6.58,2026-07-29,miss,2/5,"R1,R3,R4",,True,0.306,True,FVG,W,6.45,6.75,三推顶 6.46→6.56→6.58 回撤 64%/84% | 周线FVG [6.45-6.75] | 空: 入¥6.58 止¥6.82 标¥5.91 R:R 2.8
002560,通达股份,bottom,LONG,1.5,,6.14,2026-07-29,5.38,2026-07-22,miss,2/5,"R2,R3,R4",,True,0.774,True,FVG,W,5.38,5.81,三推底 8.71→7.99→5.38 反弹 69%/74% | 周线FVG [5.38-5.81] | 多: 入¥5.38 止¥5.33 标¥9.58 R:R 78.1
002756,永兴材料,bottom,LONG,1.5,,46.94,2026-07-29,39.83,2026-07-20,miss,2/5,"R2,R3,R4",,True,0.684,True,OB,W,37.01,39.98,三推底 58.88→56.30→39.83 反弹 75%/84% | 周线OB [37.01-39.98] | 多: 入¥39.83 止¥36.64 标¥67.02 R:R 8.5
002786,银宝山新,bottom,LONG,1.5,,7.41,2026-07-29,6.98,2026-07-24,miss,1/5,"R1,R2,R3,R4",,True,0.544,True,OB,W,6.91,7.24,三推底 7.23→7.20→6.98 反弹 77%/87% | 周线OB [6.91-7.24] | 多: 入¥6.98 止¥6.84 标¥8.48 R:R 10.8
002901,大博医疗,top,SHORT,1.5,,44.44,2026-07-29,48.74,2026-07-15,miss,1/5,"R1,R2,R3,R4",,True,0.065,True,OB,W,47.35,49.27,三推顶 43.25→46.58→48.74 回撤 60%/62% | 周线OB [47.35-49.27] | 空: 入¥48.74 止¥49.76 标¥39.58 R:R 9.0
