ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
000737,北方铜业,top,SHORT,2.0,,14.91,2026-08-24,15.14,2026-08-24,miss,2/5,"R1,R3,R4",,True,0.601,True,OB+FVG,W,14.09,15.52,三推顶 14.69→14.95→15.14 回撤 65%/73% | 周线OB+FVG [14.09-15.52] | 空: 入¥15.14 止¥15.68 标¥12.71 R:R 4.5
000899,赣能股份,bottom,LONG,2.0,,9.45,2026-08-24,9.32,2026-08-24,miss,2/5,"R2,R3,R4",,True,0.894,True,OB+FVG,W,9.08,9.51,三推底 10.60→10.29→9.32 反弹 78%/75% | 周线OB+FVG [9.08-9.51] | 多: 入¥9.32 止¥8.99 标¥11.77 R:R 7.4
601921,浙版传媒,top,SHORT,2.0,,7.37,2026-08-24,7.73,2026-08-18,miss,2/5,"R1,R3,R4",,True,0.075,True,OB+FVG,W,7.14,7.8,三推顶 7.21→7.49→7.73 回撤 60%/62% | 周线OB+FVG [7.14-7.80] | 空: 入¥7.73 止¥7.88 标¥6.63 R:R 7.4
603071,物产环能,top,SHORT,2.0,,12.62,2026-08-24,13.2,2026-08-18,miss,1/5,"R1,R2,R3,R4",,True,0.397,True,OB+FVG,W,12.92,14.11,三推顶 11.82→12.16→13.20 回撤 66%/66% | 周线OB+FVG [12.92-14.11] | 空: 入¥13.20 止¥14.25 标¥10.89 R:R 2.2
603558,健盛集团,top,SHORT,2.0,,12.19,2026-08-24,12.94,2026-07-30,miss,1/5,"R1,R2,R3,R4",,True,0.854,True,OB+FVG,W,12.76,13.67,三推顶 12.20→12.28→12.94 回撤 73%/78% | 周线OB+FVG [12.76-13.67] | 空: 入¥12.94 止¥13.81 标¥10.97 R:R 2.3
000019,深粮控股,top,SHORT,1.5,,6.42,2026-08-24,6.96,2026-08-18,miss,1/5,"R1,R2,R3,R4",,True,0.625,True,FVG,W,6.75,6.98,三推顶 6.15→6.31→6.96 回撤 68%/80% | 周线FVG [6.75-6.98] | 空: 入¥6.96 止¥7.05 标¥5.74 R:R 13.6
000426,兴业银锡,bottom,LONG,1.5,,42.29,2026-08-24,35.58,2026-08-19,miss,3/5,"R2,R3",,True,0.696,True,FVG,W,33.41,36.71,三推底 38.56→37.87→35.58 反弹 72%/69% | 周线FVG [33.41-36.71] | 多: 入¥35.58 止¥33.08 标¥40.99 R:R 2.2
000755,山西高速,top,SHORT,1.5,,4.8,2026-08-24,4.84,2026-08-17,miss,1/5,"R1,R2,R3,R4",,True,0.784,True,FVG,W,4.77,4.98,三推顶 4.77→4.80→4.84 回撤 75%/81% | 周线FVG [4.77-4.98] | 空: 入¥4.84 止¥5.03 标¥4.45 R:R 2.1
001316,润贝航科,top,SHORT,1.5,,26.8,2026-08-24,27.67,2026-08-24,miss,2/5,"R1,R3,R4",,True,0.345,True,FVG,W,26.22,29.6,三推顶 25.80→27.40→27.67 回撤 66%/65% | 周线FVG [26.22-29.60] | 空: 入¥27.67 止¥29.90 标¥24.02 R:R 1.6
002007,华兰生物,top,SHORT,1.5,,12.84,2026-08-24,13.97,2026-08-20,miss,2/5,"R1,R3,R4",,True,0.652,True,FVG,W,13.89,14.14,三推顶 13.71→13.78→13.97 回撤 83%/78% | 周线FVG [13.89-14.14] | 空: 入¥13.97 止¥14.28 标¥12.55 R:R 4.6
002009,天奇股份,top,SHORT,1.5,,16.31,2026-08-24,18.57,2026-08-04,miss,2/5,"R1,R3,R4",,True,0.414,True,OB,W,18.42,22.44,三推顶 16.14→16.60→18.57 回撤 79%/62% | 周线OB [18.42-22.44] | 空: 入¥18.57 止¥22.66 标¥15.27 R:R 0.8
002019,亿帆医药,top,SHORT,1.5,,9.84,2026-08-24,10.92,2026-08-20,miss,2/5,"R1,R2,R3",,True,0.217,True,FVG,W,10.87,11.1,三推顶 10.36→10.90→10.92 回撤 64%/88% | 周线FVG [10.87-11.10] | 空: 入¥10.92 止¥11.21 标¥9.80 R:R 3.8
002079,苏州固锝,top,SHORT,1.5,,9.38,2026-08-24,10.14,2026-08-17,miss,2/5,"R1,R3,R4",,True,0.793,True,FVG,W,9.7,13.0,三推顶 9.08→9.18→10.14 回撤 79%/72% | 周线FVG [9.70-13.00] | 空: 入¥10.14 止¥13.13 标¥8.33 R:R 0.6
